               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.026977,            0.010714,            0.018198,             0.92191,             0.90323,             0.95904,             0.78018,            0.011159,            0.004657,           0.0049229,            0.003565,            0.003565,            0.003565
                  67,            0.027421,            0.010753,            0.017507,             0.90455,             0.83711,             0.93807,             0.75155,            0.011758,           0.0049069,           0.0064808,            0.003466,            0.003466,            0.003466
                  68,            0.026942,            0.010776,            0.017376,             0.88624,             0.89439,              0.9497,              0.7758,            0.011283,           0.0048512,           0.0054018,            0.003367,            0.003367,            0.003367
                  69,            0.026852,            0.010464,            0.017206,             0.91482,             0.90632,             0.96141,             0.79059,            0.011145,            0.004687,           0.0044809,            0.003268,            0.003268,            0.003268
                  70,            0.026477,            0.010647,            0.016707,              0.9024,             0.90941,             0.96034,             0.78545,            0.011038,           0.0045789,           0.0048158,            0.003169,            0.003169,            0.003169
                  71,            0.026826,            0.010479,             0.01703,             0.93225,             0.90807,             0.95826,             0.78238,            0.010985,           0.0046356,           0.0049262,             0.00307,             0.00307,             0.00307
                  72,            0.027011,             0.01021,            0.017469,             0.91095,             0.91737,             0.95497,             0.78021,            0.011062,           0.0046147,           0.0050109,            0.002971,            0.002971,            0.002971
                  73,            0.026108,            0.010164,            0.016716,             0.92524,              0.8981,             0.96028,             0.78611,            0.010941,            0.004555,           0.0045804,            0.002872,            0.002872,            0.002872
                  74,            0.026109,            0.010196,            0.016028,             0.90867,             0.90308,             0.95935,             0.78415,             0.01083,           0.0045085,           0.0048684,            0.002773,            0.002773,            0.002773
                  75,             0.02531,            0.010304,             0.01637,              0.8861,             0.94154,             0.96369,             0.80066,            0.010589,           0.0045032,           0.0046679,            0.002674,            0.002674,            0.002674
                  76,            0.025786,            0.010304,            0.015974,             0.90955,             0.92626,             0.96508,             0.79921,            0.010699,           0.0045322,            0.004379,            0.002575,            0.002575,            0.002575
                  77,            0.024928,           0.0099538,            0.016458,             0.90249,             0.93548,              0.9636,             0.80284,            0.010597,           0.0045746,           0.0043901,            0.002476,            0.002476,            0.002476
                  78,            0.025489,           0.0099973,            0.016008,             0.91669,             0.91748,             0.96667,             0.79313,            0.010667,           0.0045952,           0.0043965,            0.002377,            0.002377,            0.002377
                  79,            0.024414,            0.010065,            0.015233,             0.93572,              0.9197,             0.96678,             0.80853,            0.010257,           0.0045035,             0.00376,            0.002278,            0.002278,            0.002278
                  80,            0.024839,           0.0097791,             0.01609,             0.91481,             0.92573,             0.96874,              0.8076,            0.010247,           0.0043857,           0.0040271,            0.002179,            0.002179,            0.002179
                  81,            0.024616,           0.0099941,            0.015262,             0.94089,             0.91582,             0.96973,             0.81138,            0.010435,           0.0042823,            0.004004,             0.00208,             0.00208,             0.00208
                  82,            0.024669,           0.0097603,            0.015004,             0.90307,             0.94777,             0.97014,              0.8121,            0.010083,           0.0042812,           0.0039051,            0.001981,            0.001981,            0.001981
                  83,             0.02427,           0.0099161,             0.01515,             0.92412,             0.94026,             0.97293,             0.82039,            0.010126,           0.0043545,           0.0035015,            0.001882,            0.001882,            0.001882
                  84,            0.024202,            0.009762,            0.014527,             0.95215,             0.90052,             0.96928,             0.81784,            0.010081,           0.0043682,           0.0037616,            0.001783,            0.001783,            0.001783
                  85,            0.024145,            0.009903,            0.014501,             0.91072,             0.93506,              0.9709,              0.8142,            0.010144,           0.0043491,            0.003792,            0.001684,            0.001684,            0.001684
                  86,            0.023382,           0.0091894,            0.013804,             0.92919,             0.92833,             0.97238,             0.81527,             0.01011,           0.0042958,            0.003672,            0.001585,            0.001585,            0.001585
                  87,            0.023578,           0.0095189,            0.014124,             0.93088,             0.92917,              0.9719,             0.82102,           0.0099792,           0.0042879,           0.0039463,            0.001486,            0.001486,            0.001486
                  88,              0.0234,           0.0096258,            0.013822,             0.95251,             0.93092,             0.97419,              0.8287,           0.0098339,           0.0042853,           0.0031984,            0.001387,            0.001387,            0.001387
                  89,            0.023382,           0.0093163,            0.014035,             0.94388,             0.91879,             0.97193,              0.8212,           0.0099054,           0.0041902,            0.003712,            0.001288,            0.001288,            0.001288
                  90,            0.022886,           0.0094736,            0.013366,             0.94616,             0.92438,             0.97238,             0.82779,            0.009689,            0.004187,           0.0034465,            0.001189,            0.001189,            0.001189
                  91,            0.022712,           0.0091341,            0.013362,             0.91265,             0.95348,             0.97305,             0.83103,           0.0096315,           0.0041908,           0.0036604,             0.00109,             0.00109,             0.00109
                  92,            0.022692,           0.0092307,            0.012497,              0.9483,              0.9217,             0.97483,             0.82876,           0.0096782,           0.0041964,           0.0033953,            0.000991,            0.000991,            0.000991
                  93,            0.022354,           0.0090762,            0.012856,              0.9555,             0.91918,             0.97564,             0.83104,           0.0095677,           0.0041994,           0.0034077,            0.000892,            0.000892,            0.000892
                  94,            0.022544,           0.0091555,            0.013096,             0.93117,             0.93492,             0.97527,             0.82936,           0.0096214,           0.0042146,           0.0034591,            0.000793,            0.000793,            0.000793
                  95,            0.021929,           0.0090098,            0.012298,             0.95314,             0.92236,             0.97472,             0.83446,           0.0094659,           0.0041694,           0.0032301,            0.000694,            0.000694,            0.000694
                  96,            0.022156,           0.0089863,            0.012584,             0.93398,              0.9444,             0.97512,             0.83739,           0.0094599,           0.0041716,           0.0033828,            0.000595,            0.000595,            0.000595
                  97,            0.022031,           0.0089375,            0.012746,             0.95404,              0.9279,             0.97719,             0.83963,            0.009395,           0.0042129,           0.0031981,            0.000496,            0.000496,            0.000496
                  98,            0.022116,           0.0089769,            0.012454,             0.94416,             0.94187,             0.97551,             0.83788,           0.0093927,           0.0041641,           0.0032316,            0.000397,            0.000397,            0.000397
                  99,            0.021444,           0.0087136,             0.01196,             0.96439,             0.92644,              0.9781,             0.84066,           0.0093815,           0.0041209,             0.00317,            0.000298,            0.000298,            0.000298
